race_x,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Open2Experience,race_y,age_bin,fromUS
3.0,53.0,True,Male,Right,AnotherPageFromTestPage,US,4,2,5,2,5,1,4,3,5,1,1,5,2,5,1,1,1,1,1,1,1,5,1,5,2,3,1,5,4,5,4,1,5,1,5,1,4,1,4,5,4,1,3,1,5,1,4,2,5,5,34,36,37,39,33,European,oa(40+),True
13.0,46.0,True,Female,Right,AnotherPageFromTestPage,US,2,2,3,3,3,3,1,5,1,5,2,3,4,2,3,4,3,2,2,4,1,3,3,4,4,4,2,3,4,3,4,1,3,2,3,1,5,1,4,4,3,3,3,3,2,3,3,1,3,2,12,25,32,19,16,Other,oa(40+),True
1.0,14.0,False,Female,Right,AnotherPageFromTestPage,PK,5,1,1,4,5,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,5,5,4,1,5,1,5,1,5,1,5,5,4,5,5,1,5,1,5,5,5,5,25,28,39,4,35,Mixed Race,minor(<18),False
3.0,19.0,False,Female,Right,AnotherPageFromTestPage,RO,2,5,2,4,3,4,3,4,4,5,5,4,4,2,4,5,5,5,4,5,2,5,4,4,3,5,3,4,4,3,3,3,4,5,1,4,5,4,2,3,4,3,5,2,4,2,5,2,5,5,12,27,16,7,31,European,ya(18-24),False
11.0,25.0,False,Female,Right,Google,US,3,1,3,3,3,1,3,1,3,5,3,3,3,4,3,3,3,3,3,4,5,5,3,5,1,5,1,5,5,5,3,1,5,3,3,1,1,3,3,3,3,1,1,1,3,1,3,1,5,3,24,34,24,20,24,Asian,ya(18-24),True
13.0,31.0,True,Female,Right,Google,US,1,5,2,4,1,3,2,4,1,5,1,5,4,5,1,4,4,1,5,2,2,2,3,4,3,4,3,5,5,3,2,5,4,3,3,4,5,3,5,3,4,2,1,3,3,5,5,4,5,3,6,26,21,26,23,Other,adult(25-39),True
5.0,20.0,True,Female,Right,Other,US,5,1,5,1,5,1,5,4,4,1,2,4,2,4,2,2,3,2,2,2,5,5,1,5,1,5,1,5,4,5,2,4,3,3,3,3,3,3,3,3,3,1,5,1,4,1,4,3,3,4,36,35,18,29,31,Other,ya(18-24),True
4.0,23.0,False,Male,Right,Google,IN,4,3,5,3,5,1,4,3,4,3,1,4,4,4,1,1,1,1,1,1,2,5,1,4,3,3,1,3,4,5,4,2,5,1,4,1,4,1,3,5,3,1,5,1,4,1,5,3,2,5,29,31,34,35,32,Asian,ya(18-24),False
5.0,39.0,True,Female,Both,Edu_Domain,US,3,1,5,1,5,1,5,2,5,3,2,4,5,3,3,5,5,4,3,3,1,5,1,5,1,5,1,5,5,4,4,3,5,2,5,2,5,2,4,3,3,3,5,3,5,1,5,3,4,5,35,39,31,15,31,Other,adult(25-39),True
3.0,18.0,True,Female,Right,Other,US,1,4,2,5,2,4,1,4,1,5,5,2,5,2,3,4,3,2,3,4,2,3,1,4,2,4,3,3,3,2,5,2,4,2,3,2,4,2,4,4,4,2,5,2,4,1,4,3,4,4,5,25,30,13,31,European,ya(18-24),True
3.0,17.0,False,Female,Right,AnotherPageFromTestPage,IT,1,5,2,5,1,4,1,4,1,5,5,3,5,3,2,5,3,3,4,3,2,4,2,4,1,5,1,4,3,3,3,4,3,4,1,5,3,3,3,3,5,3,5,3,4,1,3,5,4,5,3,31,14,14,32,European,minor(<18),False
13.0,15.0,False,Male,Right,AnotherPageFromTestPage,IN,3,3,5,3,3,3,2,4,3,3,1,5,3,3,2,3,2,3,2,4,4,4,2,2,5,5,2,5,4,4,3,3,4,3,3,5,3,3,3,4,3,1,4,1,4,5,4,3,4,5,20,25,20,26,28,Other,minor(<18),False
13.0,22.0,True,Female,Right,Google,US,3,3,4,2,4,2,2,3,4,3,3,3,3,3,2,2,4,4,2,3,1,4,1,5,1,5,2,4,5,4,4,2,4,2,3,4,4,1,5,4,3,2,4,2,3,2,3,3,5,4,24,36,29,21,27,Other,ya(18-24),True
